Rank_Prioridade,Ano_Censo,Codigo_Escola,Municipio,Total_Matriculas,Score_Vulnerabilidade,Status_Alerta,Sem_Conectividade_Efetiva,Tem_Lab_Info,Tem_Biblioteca
1,2025,31136051,Ritápolis,15,100.0,🔴 Risco Crítico,0,0,0
2,2025,31217409,Januária,73,100.0,🔴 Risco Crítico,0,0,0
3,2025,31263893,Nova Belém,70,95.23809523809523,🔴 Risco Crítico,1,0,0
4,2025,31389394,Carmo do Rio Claro,40,85.71428571428571,🔴 Risco Crítico,1,0,0
5,2025,31019585,Imbé de Minas,14,85.71428571428571,🔴 Risco Crítico,1,0,0
6,2025,31356433,Nova Belém,107,85.71428571428571,🔴 Risco Crítico,1,0,0
7,2025,31330639,Francisco Sá,15,85.71428571428571,🔴 Risco Crítico,1,0,0
8,2025,31338826,Ladainha,103,85.71428571428571,🔴 Risco Crítico,1,0,0
9,2025,31316903,São Domingos do Prata,15,85.71428571428571,🔴 Risco Crítico,1,0,0
10,2025,31047295,Cuparaque,8,85.71428571428571,🔴 Risco Crítico,1,0,0
11,2025,31303321,Imbé de Minas,5,85.71428571428571,🔴 Risco Crítico,1,0,0
12,2025,31389419,Teófilo Otoni,1,85.71428571428571,🔴 Risco Crítico,1,0,0
13,2025,31269859,Santa Helena de Minas,493,85.71428571428571,🔴 Risco Crítico,1,0,0
14,2025,31263664,Icaraí de Minas,13,85.71428571428571,🔴 Risco Crítico,1,0,0
15,2025,31077372,Durandé,33,85.71428571428571,🔴 Risco Crítico,1,0,0
16,2025,31077381,Durandé,60,85.71428571428571,🔴 Risco Crítico,1,0,0
17,2025,31077348,Durandé,36,85.71428571428571,🔴 Risco Crítico,1,0,0
18,2025,31077666,Matipó,18,85.71428571428571,🔴 Risco Crítico,1,0,0
19,2025,31077623,Matipó,14,85.71428571428571,🔴 Risco Crítico,1,0,0
20,2025,31235784,Catas Altas da Noruega,9,85.71428571428571,🔴 Risco Crítico,1,0,0
21,2025,31157414,Teófilo Otoni,20,85.71428571428571,🔴 Risco Crítico,1,0,0
22,2025,31157112,Teófilo Otoni,37,85.71428571428571,🔴 Risco Crítico,1,0,0
23,2025,31156914,Teófilo Otoni,24,85.71428571428571,🔴 Risco Crítico,1,0,0
24,2025,31156825,Teófilo Otoni,6,85.71428571428571,🔴 Risco Crítico,1,0,0
25,2025,31389274,Manga,30,85.71428571428571,🔴 Risco Crítico,1,0,0
26,2025,31362891,Icaraí de Minas,5,85.71428571428571,🔴 Risco Crítico,1,0,0
27,2025,31389362,Ataléia,27,85.71428571428571,🔴 Risco Crítico,1,0,0
28,2025,31389422,Açucena,21,85.71428571428571,🔴 Risco Crítico,1,0,0
29,2025,31375853,Presidente Olegário,35,76.19047619047619,🔴 Risco Crítico,1,0,1
30,2025,31021482,Imbé de Minas,34,71.42857142857143,🔴 Risco Crítico,0,0,0
31,2025,31389405,Teófilo Otoni,43,71.42857142857143,🔴 Risco Crítico,0,0,0
32,2025,31130354,Pedra Bonita,165,71.42857142857143,🔴 Risco Crítico,0,0,0
33,2025,31389392,João Pinheiro,42,71.42857142857143,🔴 Risco Crítico,0,0,0
34,2025,31355844,Nova Lima,120,71.42857142857143,🔴 Risco Crítico,0,0,0
35,2025,31019623,Imbé de Minas,32,71.42857142857143,🔴 Risco Crítico,0,0,0
36,2025,31336947,Gameleiras,104,71.42857142857143,🔴 Risco Crítico,0,0,0
37,2025,31333026,Andradas,24,71.42857142857143,🔴 Risco Crítico,0,0,0
38,2025,31325384,Manhuaçu,60,71.42857142857143,🔴 Risco Crítico,0,0,0
39,2025,31324582,Matias Cardoso,314,71.42857142857143,🔴 Risco Crítico,0,0,0
40,2025,31389395,Carmo do Rio Claro,46,71.42857142857143,🔴 Risco Crítico,0,0,0
41,2025,31042501,Divinolândia de Minas,30,71.42857142857143,🔴 Risco Crítico,0,0,0
42,2025,31298646,Januária,78,71.42857142857143,🔴 Risco Crítico,0,0,0
43,2025,31053104,Sardoá,90,71.42857142857143,🔴 Risco Crítico,0,0,0
44,2025,31298565,Montalvânia,69,71.42857142857143,🔴 Risco Crítico,0,0,0
45,2025,31291285,Gameleiras,60,71.42857142857143,🔴 Risco Crítico,0,0,0
46,2025,31058017,Cambuí,54,71.42857142857143,🔴 Risco Crítico,0,0,0
47,2025,31062537,Januária,62,71.42857142857143,🔴 Risco Crítico,0,0,0
48,2025,31389298,Bonito de Minas,30,71.42857142857143,🔴 Risco Crítico,0,0,0
49,2025,31064033,Januária,9,71.42857142857143,🔴 Risco Crítico,0,0,0
50,2025,31064505,Januária,138,71.42857142857143,🔴 Risco Crítico,0,0,0
51,2025,31065404,Juvenília,16,71.42857142857143,🔴 Risco Crítico,0,0,0
52,2025,31273066,Cuparaque,103,71.42857142857143,🔴 Risco Crítico,0,0,0
53,2025,31272761,Almenara,11,71.42857142857143,🔴 Risco Crítico,0,0,0
54,2025,31073521,Santos Dumont,57,71.42857142857143,🔴 Risco Crítico,0,0,0
55,2025,31073709,Santos Dumont,23,71.42857142857143,🔴 Risco Crítico,0,0,0
56,2025,31263729,Icaraí de Minas,30,71.42857142857143,🔴 Risco Crítico,0,0,0
57,2025,31263702,Icaraí de Minas,36,71.42857142857143,🔴 Risco Crítico,0,0,0
58,2025,31263541,Juvenília,13,71.42857142857143,🔴 Risco Crítico,0,0,0
59,2025,31076929,Luisburgo,65,71.42857142857143,🔴 Risco Crítico,0,0,0
60,2025,31077542,Matipó,39,71.42857142857143,🔴 Risco Crítico,0,0,0
61,2025,31237281,Almenara,8,71.42857142857143,🔴 Risco Crítico,0,0,0
62,2025,31236560,Barbacena,130,71.42857142857143,🔴 Risco Crítico,0,0,0
63,2025,31156558,São José do Divino,22,71.42857142857143,🔴 Risco Crítico,0,0,0
64,2025,31092002,Santo Antônio do Retiro,136,71.42857142857143,🔴 Risco Crítico,0,0,0
