CO_MUNICIPIO;Municipio;Total_Matriculas;Total_Escolas;Escolas_Com_Internet;Perc_Internet;Perc_Banda_Larga;Escolas_Com_Lab_Info;Perc_Lab_Info
3101201;Aiuruoca;768;4;4;100.0;100.0;1;25.0
3114600;Carrancas;730;3;3;100.0;100.0;1;33.33
3133501;Itapecerica;2729;13;13;100.0;100.0;7;53.85
3162575;São João do Manteninha;1011;5;5;100.0;100.0;3;60.0
3140308;Marliéria;895;5;5;100.0;100.0;4;80.0
3108008;Bom Sucesso;2484;12;12;100.0;100.0;4;33.33
3137700;Lajinha;4007;26;15;57.69;50.0;5;19.23
3153707;Quartel Geral;515;3;3;100.0;66.67;1;33.33
3121407;Desterro de Entre Rios;1237;10;10;100.0;100.0;4;40.0
3127404;Gonçalves;758;3;3;100.0;100.0;2;66.67
3118304;Conselheiro Lafaiete;21994;61;61;100.0;93.44;21;34.43
3168002;Taiobeiras;6482;17;17;100.0;100.0;9;52.94
3140803;Matias Barbosa;2290;8;8;100.0;100.0;5;62.5
3143906;Muriaé;17783;62;62;100.0;95.16;24;38.71
3111606;Campos Gerais;4163;15;15;100.0;93.33;7;46.67
3111002;Campestre;3089;12;11;91.67;83.33;6;50.0
3137809;Lambari;3084;11;11;100.0;100.0;4;36.36
3152170;Ponto dos Volantes;2039;16;15;93.75;56.25;2;12.5
3171105;Veríssimo;500;4;4;100.0;75.0;3;75.0
3105509;Barão do Monte Alto;928;13;13;100.0;100.0;2;15.38
3117603;Conceição do Pará;957;7;6;85.71;71.43;3;42.86
3114105;Carmo de Minas;2038;7;7;100.0;100.0;3;42.86
3150109;Piau;473;2;2;100.0;100.0;2;100.0
3156601;Rubim;1595;8;8;100.0;87.5;4;50.0
3150604;Piracema;1033;6;6;100.0;100.0;5;83.33
3108503;Botumirim;1288;8;8;100.0;100.0;4;50.0
3123700;Engenheiro Caldas;1827;6;6;100.0;83.33;4;66.67
3160405;Santo Antônio do Monte;4750;19;19;100.0;100.0;10;52.63
3171600;Virgem da Lapa;1940;15;12;80.0;80.0;8;53.33
3101805;Alpercata;1303;10;10;100.0;80.0;4;40.0
3119807;Córrego Danta;380;5;5;100.0;100.0;1;20.0
3165008;São Tiago;2122;9;8;88.89;66.67;3;33.33
3147006;Paracatu;18056;57;50;87.72;82.46;17;29.82
3142403;Moema;1365;5;5;100.0;100.0;3;60.0
3129004;Guiricema;1074;4;4;100.0;100.0;3;75.0
3159100;Santana dos Montes;588;6;6;100.0;100.0;2;33.33
3116704;Coimbra;1278;3;3;100.0;66.67;2;66.67
3109253;Bugre;616;5;5;100.0;100.0;2;40.0
3116100;Chapada do Norte;1845;21;18;85.71;52.38;7;33.33
3170206;Uberlândia;112193;192;192;100.0;92.71;121;63.02
3140159;Mário Campos;3037;7;7;100.0;100.0;5;71.43
3163508;São José do Jacuri;1177;7;7;100.0;100.0;4;57.14
3137205;Lagoa da Prata;8427;19;19;100.0;100.0;9;47.37
3155207;Rio Espera;635;6;6;100.0;100.0;2;33.33
3112505;Capim Branco;1718;8;8;100.0;100.0;2;25.0
3104304;Areado;2912;7;7;100.0;100.0;4;57.14
3149150;Pedras de Maria da Cruz;2076;14;10;71.43;50.0;6;42.86
3119203;Coroaci;1587;16;14;87.5;68.75;6;37.5
3106903;Bicas;2024;8;8;100.0;100.0;6;75.0
3143153;Monte Formoso;886;11;10;90.91;90.91;1;9.09
3145406;Olaria;327;3;3;100.0;66.67;1;33.33
3158805;Santana do Jacaré;685;3;3;100.0;100.0;2;66.67
3126505;Francisco Badaró;1132;16;16;100.0;87.5;3;18.75
3103405;Araçuaí;8559;35;33;94.29;94.29;12;34.29
3122306;Divinópolis;33310;83;83;100.0;100.0;38;45.78
3171709;Virgínia;1465;10;4;40.0;40.0;3;30.0
3152808;Prata;5212;15;15;100.0;86.67;6;40.0
3107109;Boa Esperança;7290;23;23;100.0;95.65;16;69.57
3102100;Alto Rio Doce;1850;8;8;100.0;100.0;4;50.0
3151503;Piumhi;5479;21;21;100.0;80.95;7;33.33
3155702;Rio Piracicaba;2860;14;14;100.0;100.0;4;28.57
3169356;Três Marias;5406;23;23;100.0;91.3;10;43.48
3116209;Chiador;618;7;7;100.0;100.0;5;71.43
3109402;Buritizeiro;5705;30;26;86.67;80.0;13;43.33
3122801;Dom Viçoso;545;4;4;100.0;75.0;1;25.0
3164902;São Sebastião do Rio Verde;466;3;3;100.0;100.0;1;33.33
3148400;Paulistas;783;4;4;100.0;75.0;1;25.0
3135001;Jaguaraçu;492;5;5;100.0;100.0;1;20.0
3132107;Itacarambi;3887;20;17;85.0;80.0;6;30.0
3135605;Jequitaí;1354;6;6;100.0;83.33;2;33.33
3168606;Teófilo Otoni;25462;97;64;65.98;62.89;36;37.11
3156452;Rosário da Limeira;953;4;4;100.0;100.0;1;25.0
3104908;Baependi;2151;15;13;86.67;86.67;9;60.0
3161908;São Gonçalo do Rio Abaixo;2934;11;11;100.0;100.0;6;54.55
3129608;Ibiaí;1486;11;11;100.0;36.36;5;45.45
3144656;Ninheira;1745;15;15;100.0;100.0;4;26.67
3141009;Mato Verde;3468;13;13;100.0;100.0;8;61.54
3135456;Jenipapo de Minas;1266;15;13;86.67;86.67;3;20.0
3165503;Sardoá;1075;6;6;100.0;66.67;4;66.67
3141702;Mesquita;953;7;7;100.0;100.0;4;57.14
3132602;Itamarati de Minas;722;3;3;100.0;100.0;2;66.67
3123007;Dores de Campos;1561;6;6;100.0;100.0;4;66.67
3170438;União de Minas;657;3;3;100.0;100.0;3;100.0
3146107;Ouro Preto;11738;56;55;98.21;94.64;31;55.36
3153103;Presidente Bernardes;751;7;6;85.71;85.71;1;14.29
3138682;Luislândia;1308;10;10;100.0;100.0;2;20.0
3162658;São João do Pacuí;735;8;8;100.0;100.0;3;37.5
3114709;Carvalhópolis;612;3;3;100.0;100.0;3;100.0
3150000;Pescador;653;3;3;100.0;100.0;2;66.67
3166402;Seritinga;336;3;3;100.0;100.0;1;33.33
3107802;Bom Jesus do Galho;2325;10;10;100.0;60.0;7;70.0
3143302;Montes Claros;71240;170;168;98.82;95.88;90;52.94
3164407;São Sebastião da Bela Vista;1459;6;6;100.0;100.0;4;66.67
3136306;João Pinheiro;8615;30;30;100.0;96.67;13;43.33
3131208;Ipanema;3708;10;10;100.0;100.0;9;90.0
3169505;Tumiritinga;1220;8;8;100.0;100.0;3;37.5
3170750;Varjão de Minas;1752;6;6;100.0;100.0;1;16.67
3154457;Riachinho;1386;9;9;100.0;66.67;4;44.44
3113206;Carandaí;4056;17;17;100.0;100.0;6;35.29
3139409;Manhuaçu;17402;68;68;100.0;97.06;20;29.41
3161304;São Francisco de Sales;1160;4;4;100.0;100.0;3;75.0
3145901;Ouro Branco;6791;23;23;100.0;86.96;18;78.26
3118908;Cordisburgo;1135;7;6;85.71;85.71;2;28.57
3158201;Santa Maria do Suaçuí;2762;15;14;93.33;86.67;6;40.0
3123528;Durandé;1469;10;5;50.0;40.0;4;40.0
3105707;Barra Longa;791;10;8;80.0;80.0;1;10.0
3120102;Couto de Magalhães de Minas;940;5;5;100.0;100.0;2;40.0
3122355;Divisa Alegre;1577;3;3;100.0;100.0;2;66.67
3139003;Machado;5588;21;21;100.0;100.0;14;66.67
3171303;Viçosa;9947;28;27;96.43;89.29;12;42.86
3152402;Poté;2616;15;14;93.33;86.67;4;26.67
3145455;Olhos-d'Água;1268;5;5;100.0;80.0;1;20.0
3146305;Padre Paraíso;4013;22;21;95.45;90.91;7;31.82
3129657;Ibiracatu;1243;11;11;100.0;100.0;4;36.36
3111804;Canápolis;1913;6;6;100.0;100.0;2;33.33
3133006;Itamonte;2180;12;10;83.33;83.33;2;16.67
3109451;Cabeceira Grande;1459;7;7;100.0;100.0;4;57.14
3168200;Tapiraí;272;4;4;100.0;100.0;1;25.0
3162807;São João Evangelista;2931;13;13;100.0;92.31;6;46.15
3117108;Conceição da Aparecida;1820;7;7;100.0;28.57;2;28.57
3108701;Brás Pires;762;6;6;100.0;66.67;4;66.67
3171071;Veredinha;993;6;6;100.0;83.33;1;16.67
3156106;Ritápolis;766;4;4;100.0;100.0;2;50.0
3162203;São João Batista do Glória;1443;4;4;100.0;100.0;3;75.0
3128907;Guimarânia;1508;6;6;100.0;100.0;2;33.33
3129202;Heliodora;1072;4;4;100.0;100.0;2;50.0
3168804;Tiradentes;1126;9;9;100.0;100.0;1;11.11
3102704;Cachoeira de Pajeú;1397;12;12;100.0;100.0;4;33.33
3123205;Dores do Indaiá;1513;7;7;100.0;71.43;4;57.14
3159704;Santa Rosa da Serra;733;5;5;100.0;100.0;1;20.0
3165701;Senador Firmino;1415;4;4;100.0;100.0;1;25.0
3159209;Santa Rita de Caldas;1108;7;6;85.71;85.71;2;28.57
3107307;Bocaiúva;9860;36;33;91.67;86.11;14;38.89
3160454;Santo Antônio do Retiro;1457;8;6;75.0;50.0;3;37.5
3150802;Piranga;2456;13;13;100.0;100.0;5;38.46
3138708;Luminárias;929;3;3;100.0;100.0;2;66.67
3119401;Coronel Fabriciano;15019;39;39;100.0;100.0;27;69.23
3120706;Cruzeiro da Fortaleza;1126;6;6;100.0;100.0;2;33.33
3149903;Perdões;3196;13;13;100.0;100.0;4;30.77
3153905;Raposos;2660;12;12;100.0;100.0;6;50.0
3111200;Campo Belo;8338;21;21;100.0;100.0;13;61.9
3123809;Engenheiro Navarro;1317;4;4;100.0;100.0;2;50.0
3125309;Faria Lemos;622;5;5;100.0;80.0;4;80.0
3131901;Itabirito;11963;31;31;100.0;100.0;13;41.94
3118007;Congonhas;9102;33;33;100.0;93.94;22;66.67
3167301;Silveirânia;572;3;3;100.0;100.0;1;33.33
3130507;Ilicínea;2238;5;5;100.0;100.0;4;80.0
3142601;Monsenhor Paulo;1504;7;7;100.0;100.0;6;85.71
3115508;Caxambu;2949;13;13;100.0;100.0;8;61.54
3160603;Santo Hipólito;434;7;6;85.71;71.43;2;28.57
3134400;Iturama;6842;20;20;100.0;100.0;7;35.0
3148509;Pavão;1312;7;7;100.0;71.43;2;28.57
3163706;São Lourenço;6241;18;18;100.0;100.0;8;44.44
3165578;Senador Amaral;1832;4;4;100.0;100.0;2;50.0
3100609;Água Boa;2738;19;12;63.16;52.63;5;26.32
3115359;Catas Altas;1098;6;6;100.0;100.0;1;16.67
3154606;Ribeirão das Neves;64733;113;113;100.0;100.0;55;48.67
3138104;Lassance;1238;10;9;90.0;50.0;5;50.0
3153301;Presidente Kubitschek;800;3;3;100.0;100.0;1;33.33
3170404;Unaí;15795;42;42;100.0;88.1;21;50.0
3121001;Datas;1386;7;7;100.0;100.0;2;28.57
3168051;Taparuba;682;6;6;100.0;66.67;1;16.67
3157005;Salinas;6774;32;32;100.0;87.5;18;56.25
3116902;Comendador Gomes;610;3;3;100.0;100.0;2;66.67
3140852;Matias Cardoso;2437;15;13;86.67;20.0;4;26.67
3157377;Santa Cruz de Salinas;790;8;7;87.5;62.5;2;25.0
3157500;Santa Efigênia de Minas;774;4;3;75.0;25.0;2;50.0
3151008;Piranguinho;1643;7;7;100.0;85.71;3;42.86
3124104;Esmeraldas;15918;36;36;100.0;88.89;11;30.56
3167905;Tabuleiro;645;2;2;100.0;100.0;1;50.0
3110905;Campanha;2574;10;10;100.0;100.0;5;50.0
3129806;Ibirité;28372;53;53;100.0;100.0;24;45.28
3147204;Paraguaçu;3120;10;10;100.0;90.0;4;40.0
3163102;São José da Varginha;806;8;8;100.0;100.0;2;25.0
3144201;Nacip Raydan;431;4;4;100.0;100.0;2;50.0
3144805;Nova Lima;14592;33;33;100.0;96.97;8;24.24
3171154;Vermelho Novo;1052;3;3;100.0;100.0;2;66.67
3150158;Piedade de Caratinga;1926;4;4;100.0;100.0;2;50.0
3146909;Papagaios;2679;11;11;100.0;100.0;7;63.64
3126703;Francisco Sá;3829;23;22;95.65;47.83;10;43.48
3141207;Matutina;685;5;5;100.0;60.0;2;40.0
3132800;Itambé do Mato Dentro;354;3;3;100.0;100.0;1;33.33
3108552;Brasilândia de Minas;3665;10;10;100.0;100.0;5;50.0
3102209;Alvarenga;903;8;8;100.0;100.0;1;12.5
3155900;Rio Preto;693;5;4;80.0;80.0;2;40.0
3165552;Setubinha;2490;17;15;88.24;88.24;4;23.53
3134509;Itutinga;688;3;3;100.0;100.0;2;66.67
3139607;Mantena;4268;13;13;100.0;92.31;10;76.92
3118502;Consolação;292;3;3;100.0;33.33;1;33.33
3113404;Caratinga;15525;68;68;100.0;100.0;28;41.18
3145372;Novorizonte;962;10;10;100.0;100.0;1;10.0
3172004;Visconde do Rio Branco;7097;26;26;100.0;92.31;10;38.46
3106408;Belo Vale;1454;10;8;80.0;80.0;1;10.0
3154002;Raul Soares;3953;19;19;100.0;100.0;12;63.16
3127370;Goiabeira;665;3;3;100.0;66.67;2;66.67
3105103;Bambuí;2870;14;14;100.0;92.86;5;35.71
3136504;Jordânia;1786;11;11;100.0;100.0;5;45.45
3131406;Ipiaçu;750;4;4;100.0;100.0;1;25.0
3125804;Fernandes Tourinho;472;3;3;100.0;100.0;1;33.33
3135050;Jaíba;9662;31;30;96.77;93.55;9;29.03
3100500;Açucena;1329;14;13;92.86;92.86;4;28.57
3149408;Pedro Teixeira;253;2;2;100.0;100.0;2;100.0
3150570;Pintópolis;1644;7;7;100.0;42.86;2;28.57
3110301;Caldas;2329;14;14;100.0;100.0;8;57.14
3128303;Guaranésia;3131;11;11;100.0;100.0;6;54.55
3136959;Juvenília;1295;11;11;100.0;81.82;4;36.36
3103603;Arantina;559;4;4;100.0;75.0;2;50.0
3121605;Diamantina;9095;33;33;100.0;100.0;18;54.55
3143500;Morada Nova de Minas;1893;10;10;100.0;90.0;3;30.0
3138625;Limeira do Oeste;1697;5;5;100.0;100.0;4;80.0
3157609;Santa Fé de Minas;633;5;5;100.0;100.0;2;40.0
3124708;Estrela do Indaiá;359;3;3;100.0;100.0;1;33.33
3125200;Fama;466;4;4;100.0;100.0;3;75.0
3156908;Sacramento;5149;16;16;100.0;87.5;7;43.75
3117801;Conceição dos Ouros;2056;8;8;100.0;75.0;4;50.0
3136702;Juiz de Fora;70540;182;181;99.45;98.9;120;65.93
3101631;Alfredo Vasconcelos;1166;7;7;100.0;100.0;4;57.14
3112059;Cantagalo;806;5;4;80.0;40.0;1;20.0
3113602;Careaçu;1251;3;3;100.0;100.0;2;66.67
3107505;Bom Jardim de Minas;1261;4;4;100.0;100.0;0;0.0
3114907;Casa Grande;339;4;4;100.0;100.0;4;100.0
3101508;Além Paraíba;5539;19;18;94.74;78.95;12;63.16
3142106;Miradouro;1430;13;13;100.0;69.23;3;23.08
3168309;Taquaraçu de Minas;873;4;4;100.0;100.0;1;25.0
3159902;Santo Antônio do Amparo;3104;15;15;100.0;100.0;11;73.33
3143609;Morro da Garça;481;6;6;100.0;83.33;2;33.33
3148103;Patrocínio;15621;52;52;100.0;98.08;24;46.15
3147808;Passa Vinte;376;3;3;100.0;66.67;1;33.33
3111309;Campo do Meio;1910;7;7;100.0;100.0;2;28.57
3126901;Frei Inocêncio;1650;8;8;100.0;100.0;2;25.0
3154200;Resende Costa;1770;7;7;100.0;100.0;3;42.86
3120904;Curvelo;13866;39;38;97.44;97.44;27;69.23
3120300;Cristália;1216;6;5;83.33;66.67;2;33.33
3145000;Nova Ponte;3211;8;8;100.0;100.0;4;50.0
3159407;Santa Rita de Ibitipoca;555;6;6;100.0;100.0;1;16.67
3108206;Bonfinópolis de Minas;1377;6;6;100.0;100.0;3;50.0
3126752;Franciscópolis;820;6;6;100.0;83.33;2;33.33
3165206;São Tomé das Letras;1248;6;6;100.0;100.0;3;50.0
3144359;Naque;1638;3;3;100.0;100.0;2;66.67
3132305;Itaipé;2565;11;11;100.0;100.0;3;27.27
3123403;Doresópolis;271;3;3;100.0;100.0;2;66.67
3117306;Conceição das Alagoas;5365;11;11;100.0;100.0;3;27.27
3171907;Virgolândia;815;6;6;100.0;83.33;3;50.0
3114303;Carmo do Paranaíba;4773;22;22;100.0;100.0;7;31.82
3170602;Vargem Bonita;434;5;5;100.0;100.0;1;20.0
3137403;Lagoa Dourada;2371;13;13;100.0;76.92;3;23.08
3130101;Igarapé;10055;28;28;100.0;100.0;7;25.0
3169059;Tocos do Moji;646;5;5;100.0;100.0;1;20.0
3155405;Rio Novo;1317;7;7;100.0;100.0;2;28.57
3140506;Martinho Campos;2667;13;13;100.0;100.0;7;53.85
3123858;Entre Folhas;1172;3;3;100.0;100.0;1;33.33
3135076;Jampruca;865;5;4;80.0;60.0;2;40.0
3169208;Tombos;1343;8;8;100.0;100.0;2;25.0
3103108;Antônio Prado de Minas;401;3;3;100.0;100.0;2;66.67
3149952;Periquito;1648;9;9;100.0;77.78;5;55.56
3151206;Pirapora;12281;32;32;100.0;100.0;15;46.88
3133204;Itanhomi;2104;11;11;100.0;90.91;7;63.64
3158508;Santana de Pirapama;961;7;4;57.14;57.14;4;57.14
3143005;Monte Belo;2078;7;7;100.0;85.71;2;28.57
3136009;Joaíma;2747;18;16;88.89;83.33;5;27.78
3127602;Gouveia;2083;11;11;100.0;72.73;3;27.27
3122504;Dom Cavati;807;3;3;100.0;100.0;3;100.0
3104502;Arinos;3529;24;19;79.17;70.83;11;45.83
3130556;Imbé de Minas;1263;11;8;72.73;45.45;1;9.09
3145604;Oliveira;5679;23;23;100.0;91.3;14;60.87
3160801;São Bento Abade;1092;3;3;100.0;100.0;2;66.67
3152600;Pouso Alto;1013;5;5;100.0;80.0;3;60.0
3161007;São Domingos do Prata;2769;18;16;88.89;72.22;5;27.78
3130705;Indianópolis;1262;6;6;100.0;83.33;2;33.33
3148707;Pedra Azul;4175;16;15;93.75;81.25;9;56.25
3133808;Itaúna;12639;39;39;100.0;100.0;16;41.03
3162922;São Joaquim de Bicas;7633;17;17;100.0;76.47;5;29.41
3166709;Serra dos Aimorés;1640;7;7;100.0;71.43;2;28.57
3131604;Iraí de Minas;1382;6;5;83.33;83.33;2;33.33
3112703;Capitão Enéas;3077;15;15;100.0;46.67;5;33.33
3120151;Crisólita;1057;6;6;100.0;100.0;4;66.67
3135803;Jequitinhonha;4264;25;24;96.0;72.0;11;44.0
3112208;Capela Nova;618;8;8;100.0;100.0;3;37.5
3118700;Coqueiral;1486;7;7;100.0;100.0;5;71.43
3138906;Machacalis;1623;6;6;100.0;100.0;1;16.67
3172202;Wenceslau Braz;443;3;3;100.0;100.0;2;66.67
3109600;Cachoeira da Prata;698;3;3;100.0;100.0;2;66.67
3160108;Santo Antônio do Grama;890;3;3;100.0;33.33;2;66.67
3166105;Senhora do Porto;546;4;4;100.0;100.0;1;25.0
3116407;Claraval;943;5;5;100.0;60.0;1;20.0
3132909;Itamogi;1934;8;8;100.0;100.0;6;75.0
3115474;Catuti;985;7;7;100.0;100.0;3;42.86
3162252;São João da Lagoa;995;4;4;100.0;50.0;3;75.0
3102902;Antônio Carlos;1514;12;12;100.0;66.67;5;41.67
3162401;São João da Ponte;4777;32;31;96.88;71.88;15;46.88
3102407;Alvorada de Minas;1033;8;7;87.5;87.5;4;50.0
3141900;Minduri;682;3;3;100.0;100.0;2;66.67
3135308;Japaraíba;988;6;6;100.0;83.33;2;33.33
3150307;Piedade do Rio Grande;770;4;4;100.0;100.0;3;75.0
3141405;Medina;3930;16;16;100.0;93.75;6;37.5
3126208;Formoso;1814;7;7;100.0;100.0;1;14.29
3156304;Rodeiro;1743;4;4;100.0;100.0;2;50.0
3145109;Nova Resende;3124;12;12;100.0;100.0;3;25.0
3131000;Inhaúma;1183;3;3;100.0;100.0;1;33.33
3106002;Bela Vista de Minas;1719;6;6;100.0;100.0;3;50.0
3151701;Poço Fundo;2135;9;9;100.0;100.0;5;55.56
3138302;Leandro Ferreira;555;4;4;100.0;100.0;1;25.0
3169703;Turmalina;4302;19;19;100.0;94.74;5;26.32
3122009;Divino;3635;18;18;100.0;100.0;6;33.33
3127107;Frutal;9710;25;25;100.0;96.0;12;48.0
3164605;São Sebastião do Oeste;2195;4;4;100.0;75.0;3;75.0
3150539;Pingo-d'Água;1000;4;4;100.0;100.0;1;25.0
3166600;Serra da Saudade;101;2;2;100.0;100.0;1;50.0
3109105;Bueno Brandão;1426;5;5;100.0;100.0;2;40.0
3146503;Pains;1290;5;5;100.0;100.0;2;40.0
3109709;Cachoeira de Minas;1987;8;8;100.0;100.0;7;87.5
3154804;Rio Acima;1821;8;8;100.0;100.0;2;25.0
3136553;José Raydan;851;8;8;100.0;100.0;4;50.0
3104007;Araxá;19839;59;59;100.0;100.0;32;54.24
3128501;Guarará;820;3;3;100.0;100.0;2;66.67
3161502;São Geraldo;1816;7;7;100.0;100.0;4;57.14
3138674;Luisburgo;1450;9;8;88.89;77.78;2;22.22
3157658;Santa Helena de Minas;1579;7;5;71.43;57.14;2;28.57
3103801;Arapuá;460;4;4;100.0;100.0;2;50.0
3106606;Bertópolis;1458;7;7;100.0;85.71;2;28.57
3164001;São Pedro dos Ferros;1199;6;6;100.0;66.67;4;66.67
3106655;Berizal;898;7;7;100.0;28.57;3;42.86
3155603;Rio Pardo de Minas;5432;23;23;100.0;95.65;7;30.43
