Ano_Censo;Rede_Ensino;Total_Escolas;Total_Matriculas;Escolas_com_Internet;Escolas_com_Banda_Larga;Laboratorio_Informatica;Biblioteca_Espaco_Leitura;Perc_Escolas_Internet;Perc_Escolas_Banda_Larga
2019;Estadual;4322;1870861;3579;3563;3191;3427;82.81;82.44
2019;Municipal;13807;1748301;6533;5826;2467;3567;47.32;42.2
2020;Estadual;4324;1854397;3552;3536;3186;3412;82.15;81.78
2020;Municipal;13477;1741793;6701;5899;2446;3594;49.72;43.77
2021;Estadual;4319;1744621;3539;3519;3213;3415;81.94;81.48
2021;Municipal;13363;1749814;6954;6071;2362;3603;52.04;45.43
2022;Estadual;4316;1720549;3484;3466;3164;3353;80.72;80.31
2022;Municipal;13471;1798852;7327;6437;2224;3665;54.39;47.78
2023;Estadual;4294;1629756;3452;3428;3175;3299;80.39;79.83
2023;Municipal;13441;1817606;7696;6767;2140;3682;57.26;50.35
2024;Estadual;4233;1609076;3448;3439;3192;3323;81.46;81.24
2024;Municipal;12952;1825830;7896;7010;2120;3692;60.96;54.12
2025;Estadual;4372;1619812;3552;3539;3229;3310;81.24;80.95
2025;Municipal;12868;1822410;8024;7205;2149;3929;62.36;55.99
