Municipio;Total_Matriculas_Publicas;Total_Escolas;Escolas_Sem_Internet;Escolas_Sem_Lab_Info
Januária;16442;175;94;148
Buritis;5196;98;73;93
Salinas;6774;103;71;85
Juiz de Fora;70540;248;63;128
Teófilo Otoni;25462;125;61;89
Capelinha;10447;91;61;82
São João do Paraíso;4005;79;61;71
Francisco Sá;3829;80;58;70
Governador Valadares;40734;160;55;76
Chapada do Norte;1845;73;55;66
Buritizeiro;5705;79;53;66
Porteirinha;7855;86;52;72
Formoso;1814;59;52;58
Frutal;9710;72;47;60
Uberaba;51194;159;46;87
Itabira;17411;93;46;57
Bocaiúva;9860;79;46;65
Almenara;9979;79;44;70
Minas Novas;5166;79;44;68
Monte Azul;3416;62;44;55
Medina;3930;58;42;52
Comercinho;1116;52;41;51
Diamantina;9095;73;40;55
Grão Mogol;2678;55;39;47
Ubaí;2345;47;38;39
Itamarandiba;7793;71;37;59
Araçuaí;8559;68;35;56
Iturama;6842;54;34;47
Itapagipe;2283;42;33;34
Jacinto;1868;46;33;42
Varzelândia;4854;62;32;53
Montalvânia;3116;47;32;40
Bonito de Minas;2211;46;31;34
Belo Horizonte;303492;580;30;213
Uberlândia;112193;222;30;101
Conceição do Mato Dentro;4781;49;30;44
Lima Duarte;2932;52;30;47
Bom Jardim de Minas;1261;34;30;34
São Francisco;11033;65;29;47
Espinosa;6443;65;28;43
Manga;4165;47;28;39
Bom Sucesso;2484;39;27;35
Rio do Prado;912;32;27;29
São Domingos do Prata;2769;42;26;37
Água Boa;2738;38;26;33
Palmópolis;1121;31;25;29
Josenópolis;773;30;25;29
Turmalina;4302;43;24;38
Mar de Espanha;2431;33;24;29
Itambacuri;4224;41;23;31
